#------------------------------------------------------------------------------
# テクスチャファイル名
#------------------------------------------------------------------------------
TEXTURE_FILENAME = data/TEXTURE/glass.jpg		

#==============================================================================
# フィールドの設置
#==============================================================================
FIELDSET
	POS = 4000.00 0.00 0.00
	BLOCK = 240 40
	SIZE = 40.0 40.0
	VTXPOS
	7.29 9.02 1.66 1.90 0.92 3.20 5.04 1.92 8.54 7.07 5.54 5.70 2.62 -0.98 2.88 -3.55 -2.97 -0.46 0.72 -3.64 1.67 -2.24 0.81 -0.16 -0.78 -3.22 -4.69 -2.64 -4.02 4.21 0.63 -2.21 3.88 6.97 7.98 3.93 1.05 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.51 1.50 3.24 5.89 8.79 12.42 16.43 21.07 25.09 28.99 32.88 36.89 41.36 44.39 46.42 48.09 48.81 48.89 48.34 46.20 43.41 41.79 41.28 41.06 41.88 43.01 45.23 48.42 51.62 53.68 55.25 55.89 56.07 57.68 59.50 61.29 62.94 63.90 65.58 67.00 68.09 69.66 69.92 70.32 71.35 73.75 75.19 76.39 79.31 83.35 88.74 94.27 99.31 104.05 108.37 113.20 117.00 117.35 116.50 114.19 112.25 109.86 108.97 109.28 109.71 110.84 113.74 118.49 124.06 127.69 130.23 132.17 133.83 136.32 138.96 142.45 146.78 150.03 152.44 153.29 151.36 148.76 146.40 144.52 143.29 140.51 135.56 131.76 129.34 126.43 125.74 128.60 133.35 141.45 150.13 159.02 168.73 177.02 183.74 189.27 196.92 205.62 215.79 222.91 229.55 231.47 228.47 221.15 212.59 202.18 193.17 187.93 182.58 179.40 178.78 181.95 181.90 179.35 178.83 180.44 180.44 177.90 172.21 166.82 163.57 160.73 164.46 169.66 172.54 170.93 166.66 166.97 169.05 169.34 169.11 170.19 174.32 182.04 188.54 196.74 199.50 201.46 201.91 197.56 192.98 185.73 181.83 177.92 174.67 172.85 174.30 183.42 193.56 201.36 204.16 207.25 208.80 205.07 186.33 157.92 125.58 95.49 68.49 
	19.63 28.95 22.55 23.80 48.37 71.01 67.82 53.26 53.74 40.01 29.55 31.01 33.95 25.21 22.82 18.21 21.73 26.81 26.68 24.79 31.88 31.44 39.16 39.33 44.56 48.49 53.46 57.28 55.94 55.21 43.99 35.93 35.23 27.65 17.66 10.04 3.17 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.45 1.39 3.07 5.67 8.52 12.03 15.85 19.95 24.05 27.94 32.01 36.38 40.95 44.27 46.52 48.58 49.60 49.87 49.11 46.75 43.76 42.01 41.41 41.34 42.35 43.64 45.82 49.07 52.32 54.59 56.55 57.58 58.61 60.92 63.17 65.52 67.63 69.85 72.43 75.04 76.67 79.12 80.47 82.46 85.16 89.10 91.74 93.57 97.23 99.70 104.49 110.04 114.07 118.53 125.29 132.85 139.05 141.56 141.01 137.54 133.44 130.45 129.60 129.22 129.94 133.56 138.47 143.82 149.18 153.22 156.37 158.70 163.47 167.96 170.81 175.61 181.25 185.60 189.75 191.54 189.92 188.42 186.34 183.71 183.35 181.25 176.10 169.98 165.47 160.57 158.87 164.45 174.66 185.32 196.30 207.19 217.78 227.36 232.90 237.60 249.04 261.45 272.22 278.91 283.17 284.82 281.29 272.24 262.58 251.80 245.11 241.62 239.37 238.48 238.17 243.76 246.14 247.41 251.55 253.10 249.99 243.59 238.59 234.86 231.68 224.22 221.86 224.46 228.21 228.42 224.83 221.90 223.17 223.98 222.18 222.94 228.36 235.62 240.65 247.33 250.01 252.63 251.52 248.01 244.37 236.90 232.31 226.39 220.64 215.00 214.40 227.11 237.94 245.30 247.99 248.92 250.66 245.93 224.17 189.51 151.67 116.39 84.37 
	28.89 52.16 67.92 84.35 104.52 128.95 127.27 128.55 121.08 112.23 100.36 97.85 94.74 83.26 80.23 80.68 84.25 87.42 94.26 106.44 116.84 120.53 135.84 149.62 142.58 135.51 127.04 123.88 123.74 118.09 104.24 94.08 77.77 56.93 34.20 17.61 6.17 0.23 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.29 1.06 2.54 4.94 7.64 10.77 14.11 17.74 21.31 24.77 28.66 32.92 37.29 40.58 42.67 44.33 44.90 44.78 44.43 42.91 40.70 38.90 38.10 37.80 38.24 39.48 42.10 45.32 48.28 50.35 52.23 53.20 54.57 57.35 60.40 63.37 65.95 68.83 72.81 77.15 80.50 84.50 87.56 90.79 95.59 100.62 103.05 105.43 108.61 111.83 117.85 122.21 125.09 130.54 138.35 145.82 153.63 157.92 157.85 154.68 150.88 148.52 146.63 146.07 147.43 152.19 157.84 164.13 169.10 174.40 176.83 181.15 187.09 192.85 198.15 204.23 211.06 216.86 223.17 226.75 226.62 224.66 223.18 221.14 218.81 216.85 213.01 207.23 201.32 195.79 193.95 202.07 213.77 227.37 240.57 252.04 263.29 273.22 277.28 282.94 293.95 306.88 318.13 326.50 328.26 330.62 330.92 322.41 310.92 302.48 293.67 289.40 289.88 291.45 295.51 305.16 312.20 321.41 330.21 329.10 323.16 313.84 307.60 305.62 299.79 289.30 281.14 280.91 285.05 290.44 287.95 282.85 280.61 280.94 281.66 283.40 286.97 293.49 298.85 303.62 304.14 304.24 301.14 295.30 290.11 281.72 275.41 271.00 264.83 255.04 251.93 266.44 278.95 285.45 286.20 285.04 287.54 282.85 258.51 219.32 176.48 135.22 98.78 
	21.99 54.92 93.74 126.03 142.39 153.52 151.57 150.01 148.59 148.30 143.71 138.04 132.28 119.45 121.07 120.47 124.18 127.39 133.68 148.46 157.90 161.97 176.71 181.97 170.83 158.30 149.08 143.98 140.27 135.40 122.71 112.95 96.78 74.74 51.13 28.07 8.67 0.17 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -0.03 -0.24 -0.10 0.00 -0.30 -1.03 -0.96 -0.29 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.03 0.73 1.91 3.85 6.28 8.86 11.79 14.83 17.73 20.57 23.99 27.81 31.75 34.81 36.61 37.91 38.30 37.98 37.66 36.75 35.19 33.47 32.49 31.96 32.16 33.36 35.92 39.11 41.72 43.42 45.12 45.90 47.31 50.48 53.55 56.93 60.00 63.31 67.74 72.91 78.50 83.98 88.53 93.70 100.04 105.05 106.69 110.99 115.64 120.23 126.22 130.29 135.21 142.75 150.72 157.44 164.67 168.12 168.40 165.98 163.84 160.92 158.46 157.79 158.55 163.47 170.32 177.89 184.19 189.89 193.71 200.12 205.50 210.34 216.53 224.12 232.92 239.57 245.71 251.44 253.25 252.37 251.69 249.05 246.03 244.07 241.50 237.90 233.01 228.24 226.59 233.93 244.73 259.42 274.98 288.24 301.16 310.35 315.67 322.50 332.75 344.42 355.30 359.76 359.23 362.01 365.84 360.98 352.10 345.01 336.27 334.18 336.49 343.10 352.48 365.76 376.28 390.50 402.87 403.04 394.42 384.37 379.85 376.11 369.91 354.42 340.51 333.41 336.79 341.77 338.19 330.19 326.33 327.13 329.08 332.90 336.38 342.14 347.83 353.73 354.90 356.23 353.66 346.59 339.41 330.95 326.86 324.72 315.21 301.28 291.43 304.21 316.96 324.78 323.59 317.47 318.17 315.47 290.02 248.68 200.35 155.24 115.09 
	21.73 62.39 117.20 147.42 165.71 173.56 169.10 166.55 168.48 166.24 165.45 163.08 156.36 145.62 146.97 151.48 155.42 167.54 167.13 170.70 178.75 180.88 192.03 191.24 175.30 162.44 159.48 154.39 149.32 142.59 131.27 123.31 108.80 87.53 64.35 38.14 12.03 0.20 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -0.54 -2.53 -4.49 -5.24 -4.49 -4.45 -5.40 -6.64 -5.80 -3.50 -0.92 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.34 1.11 2.49 4.55 6.61 9.08 11.47 13.68 16.12 18.64 21.57 24.89 27.68 29.40 30.22 30.71 30.47 29.98 29.28 28.19 26.85 25.49 24.91 24.96 26.31 28.72 31.52 33.57 35.18 36.25 36.98 38.22 41.54 44.13 47.64 51.12 54.42 58.59 64.20 70.75 77.29 83.18 90.05 97.06 102.44 107.41 113.17 119.37 125.34 131.18 137.54 144.49 152.86 161.72 167.91 172.70 174.59 173.26 172.17 171.42 168.63 166.48 165.58 166.82 171.08 179.49 188.46 195.51 201.54 208.39 215.46 220.46 227.22 233.72 241.86 252.51 261.69 268.07 272.57 275.65 274.80 273.07 270.43 267.11 264.02 261.67 260.76 259.91 255.52 253.93 260.51 269.66 282.80 299.04 313.13 327.08 338.54 346.13 352.63 362.28 371.86 381.01 384.79 383.48 385.93 392.01 390.91 387.75 382.94 375.94 375.52 382.45 394.00 408.73 424.69 437.89 454.99 471.20 474.55 464.73 451.79 446.27 441.04 433.36 413.05 393.78 383.22 383.32 387.14 381.46 374.17 368.70 372.20 375.11 380.28 381.70 387.96 396.14 403.64 406.61 411.27 413.79 406.84 398.86 391.32 387.53 384.44 375.44 355.62 340.70 349.19 356.89 360.95 359.41 349.79 344.86 341.39 316.51 274.09 225.10 176.60 131.15 
	29.03 72.92 133.78 160.30 179.25 193.01 187.99 186.03 189.04 186.34 180.84 177.85 172.50 162.51 166.18 170.88 176.80 186.99 189.79 187.98 190.60 192.33 197.13 189.54 174.45 170.43 166.10 163.00 157.64 151.21 135.88 125.79 110.81 93.28 71.78 42.47 14.00 0.27 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -2.31 -5.64 -9.57 -13.59 -16.42 -16.13 -13.67 -8.79 -7.04 -9.43 -10.82 -8.15 -3.24 -0.19 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.46 1.28 2.65 4.39 6.08 7.95 9.75 11.38 12.96 15.05 17.35 19.66 21.54 22.46 22.83 22.70 21.75 21.17 20.44 19.20 17.95 17.15 17.38 18.88 20.91 23.01 24.56 26.04 26.69 27.36 28.30 31.13 33.66 36.65 40.36 43.40 47.34 53.73 60.51 67.23 74.60 82.63 90.77 98.27 105.76 113.13 121.11 128.35 135.04 143.56 151.32 159.48 168.17 174.31 177.07 177.73 176.00 174.76 173.23 170.53 169.38 170.49 172.61 176.65 184.62 193.90 201.13 208.52 216.60 224.00 228.81 236.71 245.06 255.68 271.23 282.69 287.60 288.75 290.82 289.77 288.73 286.10 281.25 278.09 274.48 273.76 277.20 277.42 275.58 281.15 289.47 301.87 316.12 330.09 344.37 359.87 367.67 373.87 382.32 389.31 396.09 400.18 400.83 403.05 411.83 413.86 414.08 413.64 410.21 413.87 428.05 446.17 468.45 486.52 499.45 516.07 530.34 534.84 526.72 508.81 496.78 489.30 479.19 458.39 439.28 429.45 428.51 430.61 424.70 417.31 414.75 422.18 427.91 432.30 435.48 440.66 449.78 457.95 461.38 462.40 467.80 462.61 453.93 447.66 442.12 439.20 431.03 409.13 387.42 390.50 396.97 397.28 389.71 379.69 370.05 363.26 340.19 296.24 245.81 194.82 146.70 
	34.06 81.41 139.39 172.01 189.66 208.16 200.91 197.02 194.60 194.29 190.24 186.09 174.97 170.65 179.03 187.12 187.56 193.06 195.85 192.32 196.79 196.92 198.44 197.25 187.64 183.07 177.30 172.32 167.21 158.80 139.61 132.33 115.10 99.39 79.04 47.19 16.09 -0.46 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 -0.69 -5.57 -13.33 -20.39 -25.40 -28.70 -29.93 -24.87 -16.32 -10.10 -11.65 -14.29 -16.50 -12.49 -5.90 -0.89 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.35 1.00 2.07 3.35 4.53 5.70 6.78 7.71 8.61 9.85 11.58 13.44 14.67 15.21 14.96 14.20 13.02 12.37 11.53 10.40 9.91 10.62 11.90 13.22 14.15 15.59 16.39 17.08 17.84 18.73 19.88 22.50 25.14 28.40 31.36 35.44 42.01 48.81 55.60 64.09 73.09 83.27 93.02 102.05 112.59 122.83 131.10 138.42 146.76 155.09 161.70 170.25 176.58 178.93 179.08 178.10 176.26 172.32 169.21 169.50 172.43 175.06 179.97 187.09 195.28 202.26 210.43 219.94 227.23 232.85 242.94 257.87 272.66 290.92 305.21 307.53 306.16 305.92 301.86 300.54 297.28 292.64 287.97 286.68 288.34 291.91 289.81 290.43 296.95 306.96 318.84 331.31 343.26 355.38 369.74 378.22 383.43 388.68 394.85 402.68 408.23 411.85 415.32 420.72 425.39 431.60 436.63 440.77 449.74 469.79 495.88 522.41 541.27 552.14 564.43 577.61 581.62 574.90 554.83 535.56 524.77 513.52 497.32 481.31 474.35 472.53 473.90 467.58 460.01 460.96 469.22 476.71 481.07 485.26 489.26 499.02 504.27 504.76 505.79 511.00 508.05 503.36 494.63 488.74 486.12 478.06 456.68 431.81 429.04 429.75 428.00 418.82 404.57 390.60 381.39 356.67 315.19 262.87 210.01 158.13 
